sr no. ,Distric,state,latitude,longitude,red zone,orange zone,green zone,,,,,
315,lndore,MADHYA PRADESH,,,1,0,0,,,,,
316,Bhopal,MADHYA PRADESH,,,1,0,0,,,,,
317,Ujjain,MADHYA PRADESH,,,1,0,0,,,,,
318,Jabalpur,MADHYA PRADESH,,,1,0,0,,,,,
319,Dhar,MADHYA PRADESH,,,1,0,0,,,,,
320,Barwani,MADHYA PRADESH,,,1,0,0,,,,,
321,East Nimar,MADHYA PRADESH,,,1,0,0,,,,,
322,Dewas,MADHYA PRADESH,,,1,0,0,,,,,
323,Gwalior,MADHYA PRADESH,,,1,0,0,,,,,
324,Khargone,MADHYA PRADESH,,,0,1,0,,,,,
325,Raisen,MADHYA PRADESH,,,0,1,0,,,,,
326,Hoshangabad,MADHYA PRADESH,,,0,1,0,,,,,
327,Ratlam,MADHYA PRADESH,,,0,1,0,,,,,
328,Agar Malwa,MADHYA PRADESH,,,0,1,0,,,,,
329,Mandsaur,MADHYA PRADESH,,,0,1,0,,,,,
330,Sagar,MADHYA PRADESH,,,0,1,0,,,,,
331,Shajapur,MADHYA PRADESH,,,0,1,0,,,,,
332,Chhindwara,MADHYA PRADESH,,,0,1,0,,,,,
333,Alirajpur,MADHYA PRADESH,,,0,1,0,,,,,
334,Tikamgarh,MADHYA PRADESH,,,0,1,0,,,,,
335,Shahdol,MADHYA PRADESH,,,0,1,0,,,,,
336,Sheopur,MADHYA PRADESH,,,0,1,0,,,,,
337,Dindori,MADHYA PRADESH,,,0,1,0,,,,,
338,Burhanpur,MADHYA PRADESH,,,0,1,0,,,,,
339,Harda,MADHYA PRADESH,,,0,1,0,,,,,
340,Betul,MADHYA PRADESH,,,0,1,0,,,,,
341,Vidisha,MADHYA PRADESH,,,0,1,0,,,,,
342,Morena,MADHYA PRADESH,,,0,1,0,,,,,
343,Rewa,MADHYA PRADESH,,,0,0,1,,,,,
344,Ashoknagar,MADHYA PRADESH,,,0,0,1,,,,,
345,Rajgarh,MADHYA PRADESH,,,0,0,1,,,,,
346,Shivpuri,MADHYA PRADESH,,,0,0,1,,,,,
347,Anuppur,MADHYA PRADESH,,,0,0,1,,,,,
348,Balaghat,MADHYA PRADESH,,,0,0,1,,,,,
349,Bhind,MADHYA PRADESH,,,0,0,1,,,,,
350,Chhatarpur,MADHYA PRADESH,,,0,0,1,,,,,
351,Damoh,MADHYA PRADESH,,,0,0,1,,,,,
352,Datia,MADHYA PRADESH,,,0,0,1,,,,,
353,Guna,MADHYA PRADESH,,,0,0,1,,,,,
354,Jhabua,MADHYA PRADESH,,,0,0,1,,,,,
355,Katni,MADHYA PRADESH,,,0,0,1,,,,,
356,Mandla,MADHYA PRADESH,,,0,0,1,,,,,
357,Narsinghpur,MADHYA PRADESH,,,0,0,1,,,,,
358,Neemuch,MADHYA PRADESH,,,0,0,1,,,,,
359,Panna,MADHYA PRADESH,,,0,0,1,,,,,
360,Satna,MADHYA PRADESH,,,0,0,1,,,,,
361,Sehore,MADHYA PRADESH,,,0,0,1,,,,,
362,Seoni,MADHYA PRADESH,,,0,0,1,,,,,
363,Sidhi,MADHYA PRADESH,,,0,0,1,,,,,
364,Umaria,MADHYA PRADESH,,,0,0,1,,,,,
365,Singrauli,MADHYA PRADESH,,,0,0,1,,,,,
366,Niwari,MADHYA PRADESH,,,0,0,1,,,,,
367,Mumbai,MAHARASHTRA,,,1,0,0,,,,,
368,Pune,MAHARASHTRA,,,1,0,0,,,,,
369,Thane,MAHARASHTRA,,,1,0,0,,,,,
370,Nashik,MAHARASHTRA,,,1,0,0,,,,,
371,Palghar,MAHARASHTRA,,,1,0,0,,,,,
372,Nagpur,MAHARASHTRA,,,1,0,0,,,,,
373,Solapur,MAHARASHTRA,,,1,0,0,,,,,
374,Yavatmal,MAHARASHTRA,,,1,0,0,,,,,
375,Aurangabad,MAHARASHTRA,,,1,0,0,,,,,
376,Satara,MAHARASHTRA,,,1,0,0,,,,,
377,Dhule,MAHARASHTRA,,,1,0,0,,,,,
378,Akola,MAHARASHTRA,,,1,0,0,,,,,
379,Jalgaon,MAHARASHTRA,,,1,0,0,,,,,
380,Mumbai Suburban,MAHARASHTRA,,,1,0,0,,,,,
381,Raigad,MAHARASHTRA,,,0,1,0,,,,,
382,Ahmednagar,MAHARASHTRA,,,0,1,0,,,,,
383,Amravati,MAHARASHTRA,,,0,1,0,,,,,
384,Buldhana,MAHARASHTRA,,,0,1,0,,,,,
385,Nandurbar,MAHARASHTRA,,,0,1,0,,,,,
386,Kolhapur,MAHARASHTRA,,,0,1,0,,,,,
387,Hingoli,MAHARASHTRA,,,0,1,0,,,,,
388,Ratnagiri,MAHARASHTRA,,,0,1,0,,,,,
389,Jalna,MAHARASHTRA,,,0,1,0,,,,,
390,Nanded,MAHARASHTRA,,,0,1,0,,,,,
391,Chandrapur,MAHARASHTRA,,,0,1,0,,,,,
392,Parbhani,MAHARASHTRA,,,0,1,0,,,,,
393,Sangli,MAHARASHTRA,,,0,1,0,,,,,
394,Latur,MAHARASHTRA,,,0,1,0,,,,,
395,Bhandara,MAHARASHTRA,,,0,1,0,,,,,
396,Beed,MAHARASHTRA,,,0,1,0,,,,,
397,Osmanabad,MAHARASHTRA,,,0,0,1,,,,,
398,Washim,MAHARASHTRA,,,0,0,1,,,,,
399,Sindhudurg,MAHARASHTRA,,,0,0,1,,,,,
400,Gondia,MAHARASHTRA,,,0,0,1,,,,,
401,Gadchiroli,MAHARASHTRA,,,0,0,1,,,,,
402,Wardha,MAHARASHTRA,,,0,0,1,,,,,
403,lmphal West,MANIPUR,,,0,0,1,,,,,
404,Thoubal,MANIPUR,,,0,0,1,,,,,
405,Bishnupur,MANIPUR,,,0,0,1,,,,,
406,Chandel,MANIPUR,,,0,0,1,,,,,
407,Churachandpur,MANIPUR,,,0,0,1,,,,,
408,lmphal East,MANIPUR,,,0,0,1,,,,,
409,Senapati,MANIPUR,,,0,0,1,,,,,
410,Tamenglong,MANIPUR,,,0,0,1,,,,,
411,Ukhrul,MANIPUR,,,0,0,1,,,,,
412,Kakching,MANIPUR,,,0,0,1,,,,,
413,Kangpokpi,MANIPUR,,,0,0,1,,,,,
414,Jiribam,MANIPUR,,,0,0,1,,,,,
415,Noney,MANIPUR,,,0,0,1,,,,,
416,Pherzawl,MANIPUR,,,0,0,1,,,,,
417,Tengnoupal,MANIPUR,,,0,0,1,,,,,
418,Kamjong,MANIPUR,,,0,0,1,,,,,
419,East Khasi Hills,MEGHALAYA,,,0,1,0,,,,,
420,East Garo Hills,MEGHALAYA,,,0,0,1,,,,,
421,West Jaintia Hills,MEGHALAYA,,,0,0,1,,,,,
422,Ri Bhoi,MEGHALAYA,,,0,0,1,,,,,
423,South Garo Hills,MEGHALAYA,,,0,0,1,,,,,
424,West Garo Hills,MEGHALAYA,,,0,0,1,,,,,
425,West Khasi Hills,MEGHALAYA,,,0,0,1,,,,,
426,North Garo Hills,MEGHALAYA,,,0,0,1,,,,,
427,East Jaintia Hills,MEGHALAYA,,,0,0,1,,,,,
428,South West Khasi Hills,MEGHALAYA,,,0,0,1,,,,,
429,South West Garo Hills,MEGHALAYA,,,0,0,1,,,,,
430,Aizawl,MIZORAM,,,0,0,1,,,,,
431,Champhai,MIZORAM,,,0,0,1,,,,,
432,Kolasib,MIZORAM,,,0,0,1,,,,,
433,Lawngtlai,MIZORAM,,,0,0,1,,,,,
434,Lunglei,MIZORAM,,,0,0,1,,,,,
435,Mamit,MIZORAM,,,0,0,1,,,,,
436,Saiha,MIZORAM,,,0,0,1,,,,,
437,Serchhip,MIZORAM,,,0,0,1,,,,,
438,Hnahthial,MIZORAM,,,0,0,1,,,,,
439,Saitual,MIZORAM,,,0,0,1,,,,,
440,Khawzawl,MIZORAM,,,0,0,1,,,,,
441,Dimapur,NAGALAND,,,0,0,1,,,,,
442,Kohima,NAGALAND,,,0,0,1,,,,,
443,Mokokchung,NAGALAND,,,0,0,1,,,,,
444,Mon,NAGALAND,,,0,0,1,,,,,
445,Phek,NAGALAND,,,0,0,1,,,,,
446,Tuensang,NAGALAND,,,0,0,1,,,,,
447,Wokha,NAGALAND,,,0,0,1,,,,,
448,Zunheboto,NAGALAND,,,0,0,1,,,,,
449,Peren,NAGALAND,,,0,0,1,,,,,
450,Kiphire,NAGALAND,,,0,0,1,,,,,
451,Longleng,NAGALAND,,,0,0,1,,,,,
452,Jaiapur,ODISHA,,,1,0,0,,,,,
453,Bhadrak,ODISHA,,,1,0,0,,,,,
454,Baleshwar (Balasore),ODISHA,,,1,0,0,,,,,
455,Khordha,ODISHA,,,0,1,0,,,,,
