sr no. ,Distric,state,latitude,longitude,zones
291,Kodagu,KARNATAKA,,,green
292,Kolar,KARNATAKA,,,green
293,Koppal,KARNATAKA,,,green
294,Raichur,KARNATAKA,,,green
295,Shivamogga,KARNATAKA,,,green
296,Ramanagara,KARNATAKA,,,green
297,Yadgir,KARNATAKA,,,green
298,Kannur,KERALA,,,red
299,Kottayam,KERALA,,,red
300,Kasaragod,KERALA,,,orange
301,Idukki,KERALA,,,orange
302,Kozhikode (Calicut),KERALA,,,orange
303,Kollam,KERALA,,,orange
304,Palakkad,KERALA,,,orange
305,Pathanamthitta,KERALA,,,orange
306,Malappuram,KERALA,,,orange
307,Thiruvananthapuram (Trivandrum),KERALA,,,orange
308,Alappuzha (Alleppey),KERALA,,,orange
309,Thrissur,KERALA,,,orange
310,Ernakulam,KERALA,,,green
311,Wayanad,KERALA,,,green
312,Leh Ladakh,LADAKH,,,orange
313,Kargil,LADAKH,,,orange
314,Lakshadweep District,LAKSHADWEEP,,,green
315,lndore,MADHYA PRADESH,,,red
316,Bhopal,MADHYA PRADESH,,,red
317,Ujjain,MADHYA PRADESH,,,red
318,Jabalpur,MADHYA PRADESH,,,red
319,Dhar,MADHYA PRADESH,,,red
320,Barwani,MADHYA PRADESH,,,red
321,East Nimar,MADHYA PRADESH,,,red
322,Dewas,MADHYA PRADESH,,,red
323,Gwalior,MADHYA PRADESH,,,red
324,Khargone,MADHYA PRADESH,,,orange
325,Raisen,MADHYA PRADESH,,,orange
326,Hoshangabad,MADHYA PRADESH,,,orange
327,Ratlam,MADHYA PRADESH,,,orange
328,Agar Malwa,MADHYA PRADESH,,,orange
329,Mandsaur,MADHYA PRADESH,,,orange
330,Sagar,MADHYA PRADESH,,,orange
331,Shajapur,MADHYA PRADESH,,,orange
332,Chhindwara,MADHYA PRADESH,,,orange
333,Alirajpur,MADHYA PRADESH,,,orange
334,Tikamgarh,MADHYA PRADESH,,,orange
335,Shahdol,MADHYA PRADESH,,,orange
336,Sheopur,MADHYA PRADESH,,,orange
337,Dindori,MADHYA PRADESH,,,orange
338,Burhanpur,MADHYA PRADESH,,,orange
339,Harda,MADHYA PRADESH,,,orange
340,Betul,MADHYA PRADESH,,,orange
341,Vidisha,MADHYA PRADESH,,,orange
342,Morena,MADHYA PRADESH,,,orange
343,Rewa,MADHYA PRADESH,,,green
344,Ashoknagar,MADHYA PRADESH,,,green
345,Rajgarh,MADHYA PRADESH,,,green
346,Shivpuri,MADHYA PRADESH,,,green
347,Anuppur,MADHYA PRADESH,,,green
348,Balaghat,MADHYA PRADESH,,,green
349,Bhind,MADHYA PRADESH,,,green
350,Chhatarpur,MADHYA PRADESH,,,green
351,Damoh,MADHYA PRADESH,,,green
352,Datia,MADHYA PRADESH,,,green
353,Guna,MADHYA PRADESH,,,green
354,Jhabua,MADHYA PRADESH,,,green
355,Katni,MADHYA PRADESH,,,green
356,Mandla,MADHYA PRADESH,,,green
357,Narsinghpur,MADHYA PRADESH,,,green
358,Neemuch,MADHYA PRADESH,,,green
359,Panna,MADHYA PRADESH,,,green
360,Satna,MADHYA PRADESH,,,green
361,Sehore,MADHYA PRADESH,,,green
362,Seoni,MADHYA PRADESH,,,green
363,Sidhi,MADHYA PRADESH,,,green
364,Umaria,MADHYA PRADESH,,,green
365,Singrauli,MADHYA PRADESH,,,green
366,Niwari,MADHYA PRADESH,,,green
367,Mumbai,MAHARASHTRA,,,red
368,Pune,MAHARASHTRA,,,red
369,Thane,MAHARASHTRA,,,red
370,Nashik,MAHARASHTRA,,,red
371,Palghar,MAHARASHTRA,,,red
372,Nagpur,MAHARASHTRA,,,red
373,Solapur,MAHARASHTRA,,,red
374,Yavatmal,MAHARASHTRA,,,red
375,Aurangabad,MAHARASHTRA,,,red
376,Satara,MAHARASHTRA,,,red
377,Dhule,MAHARASHTRA,,,red
378,Akola,MAHARASHTRA,,,red
379,Jalgaon,MAHARASHTRA,,,red
380,Mumbai Suburban,MAHARASHTRA,,,red
381,Raigad,MAHARASHTRA,,,orange
382,Ahmednagar,MAHARASHTRA,,,orange
383,Amravati,MAHARASHTRA,,,orange
384,Buldhana,MAHARASHTRA,,,orange
385,Nandurbar,MAHARASHTRA,,,orange
386,Kolhapur,MAHARASHTRA,,,orange
387,Hingoli,MAHARASHTRA,,,orange
